arabic,armenian,azerbaijani,basque,bengali,bosnian,bulgarian,catalan,cebuano,corsican,croatian,danish,esperanto,estonian,filipino,finnish,galician,georgian,german,greek,gujarati,haitian,hawaiian,hebrew,hmong,hungarian,icelandic,igbo,indonesian,irish,italian,japanese,javanese,kannada,kazakh,khmer,kurdish,kyrgyz,lao,latin,latvian,luxembourgish,macedonian,malagasy,malaysian,malayalam,maltese,maori,marathi,mongolian,nepali,pashto,persian,polish,portuguese,punjabi,romanian,samoan,serbian,shona,sindhi,sinhala,slovak,somali,spanish,sundanese,swahili,swedish,tajik,tamil,telugu,thai,urdu,uzbek,vietnamese,xhosa,yiddish,yoruba,zulu
إنتاج,արտադրել,istehsal,ekoizteko,উত্পাদন,proizvode,производство,produeix,производство,prudùcinu,proizvesti,producere,produkti,tootma,gumawa,tuottaa,producir,წარმოების,produzieren,παράγουν,ઉત્પાદન,pwodwi,paka,לייצר,tsim,termel,framleiða,mepụta,menghasilkan,ar aird,produrre,作る,gawé,ಉತ್ಪತ್ತಿ,шығару,ផលិត,çêkirin,чыгаруу,ຜະລິດຕະພັນ,producere,ražot,recycléieren,производство на,voka-pambolena sy fiompiana,menghasilkan,ഉൽപ്പാദിപ്പിക്കുക,jipproduċu,te whakaputa,उत्पादन,үйлдвэрлэх,उत्पादन,توليدول، جوړول,محصول,produkować,produzir,ਉਤਪਾਦਨ,produc,gaosi,производе,kubereka,پيدا,නිපැයුම,vyrábať,soo saaraan,Produce,ngahasilkeun,kuzalisha,producera,офаридан,உற்பத்தி,ఉత్పత్తి,ผลิต,پیداوار,mahsulot,sản xuất,velisa,פּראָדוצירן,mu jade,khiqiza
حقيقة,փաստ,fakt,Izan,আসলে,činjenica,Всъщност,fet,Всъщност,Difatti,činjenica,kendsgerning,fakto,Tegelikult,katunayan,tosiasia,feito,"ის ფაქტი,",Tatsache,γεγονός,હકીકત,reyalite,mea,עובדה,qhov tseeb,tény,staðreynd,N’eziokwu,Bahkan,Go deimhin,fatto,事実,kasunyatan,ವಾಸ್ತವವಾಗಿ,факт,ជាការពិត,berçavî,чындык,ຄວາມຈິງ,eo,fakts,tatsaach,Всушност,Raha ny marina,fakta,വസ്തുത,fatt,meka,खरं,нь,वास्तवमा,حقيقت,واقع,fakt,fato,ਅਸਲ ’,fapt,mea moni,чињеница,chokwadi,حقيقت اها آهي ته,ඇත්ත,skutočnosť,xaqiiqda,hecho,pakta,ukweli,faktum,далели,உண்மை,నిజానికి,ความเป็นจริง,حقیقت یہ ہے,dalil,thực tế,inyaniso,פאַקט,o daju,Empeleni
الفضاء,տարածք,space,espazioa,স্থান,prostora,пространство,espai,пространство,u spaziu,prostor,rum,spaco,ruumi,puwang,tilaa,espazo,ფართი,Raum,χώρο,જગ્યા,espas,makahiki,חלל,qhov chaw,hely,rúm,ohere,ruang,spás,spazio,スペース,papan,ಸ್ಪೇಸ್,ғарыш,ចន្លោះ,dem,мейкиндик,ຊ່ອງ,locus,telpa,plaz,простор,toerana,ruang,ഇടം,ispazju,wāhi,जागा,орон зай,अन्तरिक्ष,فضا,فضا,przestrzeń,espaço,ਸਪੇਸ,spațiu,avanoa,спаце,nzvimbo,خلا,අවකාශය,miesto,space,espacio,angkasa,nafasi,space,фазо,விண்வெளி,స్పేస్,พื้นที่,خلائی,maydon,không gian,isithuba,פּלאַץ,aaye,isikhala
سمعت,լսել,eşitdim,entzun,শোনা,čuo,Чух,sentit,Чух,ntisi,čula,hørt,aŭdis,kuulnud,narinig,kuuli,oído,ისმის,gehört,ακούσει,સાંભળ્યું,tande,lohe,שמע,hnov,hallott,heyrði,nụrụ,mendengar,éisteacht,sentito,聞いた,krungu,ಕೇಳಿದ,естідім,ឮ,bihîst,уккан,ໄດ້ຍິນ,audivit,dzirdējis,héieren,слушнав,nandre,mendengar,കേട്ടു,jinstemgħu,rongo,ऐकले,сонслоо,सुनेको,اورېدلي,شنیده,słyszałem,ouvido,ਸੁਣਿਆ,a auzit,faalogo,Чуо,akanzwa,ٻڌو,අසා,počuť,maqlay,oído,kadéngé,habari,hört,"шунидам,",கேட்டது,విన్న,ได้ยิน,سنا,eshitib,nghe,ndeva,געהערט,gbọ,wezwa
أفضل,լավագույն,yaxşı,onena,সেরা,najbolji,Най-добрият,millor,Най-добрият,migliori,najbolje,bedst,bona,parim,pinakamahusay,paras,mellor,საუკეთესო,beste,καλύτερο,શ્રેષ્ઠ,pi bon,pono,הטוב ביותר,zoo tshaj plaws,legjobb,besta,mma,terbaik,fearr,migliore,ベスト,paling,ಉತ್ತಮ,ең жақсы,ល្អបំផុត,baştirîn,мыкты,ທີ່ດີທີ່ສຸດ,optimum,vislabāk,beschte,најдобрите,tsara indrindra,terbaik,മികച്ച,aħjar,pai,सर्वोत्तम,хамгийн сайн,सबै भन्दा राम्रो,ښه,بهترین,najlepszy,melhor,ਵਧੀਆ,cel mai bun,sili,бест,yakanakisisa,بهترين,හොඳම,najlepšie,ugu fiican,mejor,pangalusna,bora,bäst,беҳтарин,சிறந்த,ఉత్తమ,ที่ดีที่สุด,بہترین,eng yaxshi,tốt nhất,eyona,בעסטער,ti o dara ju,umhlabeleli
ساعة,ժամ,saat,ordu,ঘন্টা,sata,часа,hores,часа,ora,sat,time,horo,tund,oras,tunti,horas,საათი,Stunde,ώρα,કલાક,èdtan,hola,שעה,teev,óra,klukkustund,awa,jam,uair an chloig,ora,時間,jam,ಗಂಟೆ,сағат,ម៉ោង,seet,саат,ຊົ່ວໂມງ,"hora,",stunda,stonn,час,ora,jam,മണിക്കൂര്,siegħa,haora,तास,цаг,घण्टा,ساعت,ساعت,godzina,horas,ਘੰਟੇ,oră,itula,сат,awa,ڪلاڪ,පැය,hodín,saacad,horas,jam,saa,timme,соат,மணி,గంట,ชั่วโมง,گھنٹے,soat,giờ,yure,שעה,wakati,ngehora
أفضل,ավելի լավ,yaxşı,hobeto,ভাল,bolje,по-добре,millor,по-добре,megghiu,bolje,bedre,pli,parem,mas mabuti,parempi,mellor,უკეთესი,besser,καλύτερη,સારી,pi bon,maikai,טוב יותר,zoo dua,jobb,betur,mma,lebih baik,níos fearr,meglio,良い,luwih apik,ಉತ್ತಮ,жақсырақ,កាន់តែប្រសើរឡើង,baştir,сонун,ດີກວ່າ,melius,labāk,besser,подобро,tsara kokoa,lebih baik,മെച്ചപ്പെട്ട,aħjar,pai,चांगले,сайн,राम्रो,ښه,بهتر,lepiej,melhor,ਬਿਹਤਰ,mai bine,sili,боље,nane,ڀلي,වඩා හොඳ,lepšia,fiican,mejor,leuwih alus,bora,bättre,хубтар,சிறந்த,మంచి,ที่ดีกว่า,بہتر,yaxshiroq,tốt hơn,ngcono,בעסער,dara,kangcono
صحيح,ճիշտ,doğru,egia,সত্য,istina,вярно,cert,вярно,vera,pravi,sand,vera,tõsi,totoo,totta,verdade,დიახ,wahr,αληθής,સાચું,vre,oiaio,נכון,muaj tseeb,igaz,satt,ezi,benar,fíor,vero,真の,bener,ನಿಜ,шынайы,ជាការពិត,rast,чыныгы,ຄວາມຈິງ,verum,patiess,richteg,вистински,marina,benar,സത്യം,veru,pono,खरे,үнэн,साँचो,رښتيا,درست است,prawdziwy,verdade,"ਸੱਚ ਹੈ,",adevărat,moni,прави,zvechokwadi,سچ,සැබෑ,pravda,run,verdadero,bener,kweli,SANT,ҳақиқӣ,உண்மை,నిజమైన,ที่แท้จริง,سچ,haqiqiy,đúng,oyinyaniso,עמעס,otitọ,kuyiqiniso
خلال,ընթացքում,zamanı,zehar,সময়,vrijeme,по време на,durant,по време на,duranti,vrijeme,i løbet af,dum,jooksul,sa panahon ng,aikana,durante,დროს,während,κατά τη διάρκεια της,દરમિયાન,pandan,iloko o,במהלך,thaum lub sij hawm,alatt,á,n’oge,selama,le linn,durante,間に,sak,ಸಮಯದಲ್ಲಿ,ішінде,ក្នុងអំឡុងពេល,dema,убагында,ໃນລະຫວ່າງການ,per,laikā,während,за време на,mandritra,semasa,കാലത്ത്,matul,i roto i,दरम्यान,үед,समयमा,په ترڅ کې,در,podczas,durante,ਦੇ ਦੌਰਾਨ,în timpul,aʻo,током,munguva,دوران,තුළ,počas,inta lagu jiro,durante,salila,wakati wa,under,дар муддати,போது,సమయంలో,ในช่วง,کے دوران,davomida,trong khi,ngexesha,בעשאַס,nigba,ngesikhatsi
مائة,հարյուր,yüz,ehun,শত,stotinu,сто,cent,сто,centu,sto,hundrede,cent,sada,daang,sata,cen,ასი,hundert,εκατό,સો,santèn,haneri,מאה,puas,száz,hundrað,narị,ratus,céad,cento,百,atus,ನೂರು,жүз,រយ,sed,жүз,ຮ້ອຍ,centum,simti,honnert,сто,jato,ratus,നൂറ്,mitt,rau,शंभर,зуун,सय,سوه,صد,sto,cem,ਸੌ,sute de,selau,сто,zana,سو,සියයක්,sto,boqol,cien,ratus,mia,hundra,сад,நூறு,వంద,ร้อย,سو,yuz,trăm,ikhulu,הונדערט,ọgọrun,angamakhulu
خمسة,հինգ,beş,bost,পাঁচ,pet,пет,llit,пет,cinque,pet,fem,kvin,viis,lima,viisi,cinco,ხუთ,fünf,πέντε,પાંચ,senk,ʻelima,חמש,tsib,öt,fimm,ise,lima,cúig,cinque,五,limang,ಐದು,бес,ប្រាំ,pênc,беш,ຫ້າ,"quinque,",pieci,fënnef,пет,dimy,lima,അഞ്ച്,ħamsa,e rima,पाच,таван,पाँच,پنځه,پنج,pięć,cinco,ਪੰਜ,cinci,lima,Фиве,shanu,پنج,පස්,päť,shan,cinco,lima,tano,fem,панҷ,ஐந்து,ఐదు,ห้า,پانچ,besh,năm,Ntlanu,פינף,marun,ezinhlanu
تذكر,հիշում,xatırlayıram,gogoratu,"মনে রাখবেন,",zapamtite,Спомням си,recordar,Спомням си,sapere,zapamtite,huske,memori,mäletan,tandaan,muistaa,Teña en conta que,მახსოვს,merken,θυμηθείτε,યાદ,sonje,no,לזכור,nco ntsoov,emlékezik,muna,na-echeta,ingat,cuimhnigh,ricordare,覚えている,elinga,ನೆನಪಿಡಿ,есте сақтау,ចងចាំ,bîrveanîn,эстөө,ຈື່,memores,atcerēties,erënneren,се сеќавам,tsarovy,ingat,സ്മരിക്കുക,ftakar,mahara,लक्षात ठेवा,санаж,सम्झना,په یاد,به یاد داش,pamiętaj,lembre-se,ਯਾਦ ਹੈ,amintiți-vă,manatua,запамтите,yeuka,ياد,මතක තබා,pamätať,xusuusnow,recordar,ngelingan,kumbuka,minnas,ёд,நினைவில்,గుర్తు,จำได้ว่า,یاد,eslayman,nhớ,khumbula,געדענקען,ranti,ukhumbule
خطوة,քայլ,addım,urrats,পদক্ষেপ,korak,стъпка,pas,стъпка,passu,korak,trin,paŝo,samm,hakbang,vaihe,paso,ნაბიჯი,Schritt,βήμα,પગલું,etap,’anuʻu,צעד,kauj ruam,lépés,skref,nzọụkwụ,langkah,céim,passo,ステップ,langkah,ಹಂತ,қадам,ជំហាន,gav,кадам,ຂັ້ນຕອນ,step,solis,schrëtt,чекор,dingana,langkah,ചുവട്,pass,taahiraa,पाऊल,алхам,कदम,ګام,گام,krok,passo,ਕਦਮ ਹੈ,pas,laʻa,корак,danho,قدم,පියවර,krok,Tallaabada,paso,lengkah,hatua,steg,қадами,படி,అడుగు,ขั้นตอนที่,قدم,qadam,bước,inyathelo,טרעטן,igbese,Isinyathelo
في وقت مبكر,վաղ,erkən,hasieran,প্রথম,rano,началото,primerenca,началото,principiu,rano,tidligt,frua,alguses,maagang,varhainen,cedo,დასაწყისში,früh,νωρίς,પ્રારંભિક,byen bonè,koke,מוקדם,thaum ntxov,korai,snemma,n’isi,awal,go luath,presto,早い,awal,ಆರಂಭಿಕ,ерте,ដើម,zû,эрте,ຕົ້ນ,mane,agri,fréi,почетокот,tany am-boalohany,awal,നേരത്തെയുള്ള,kmieni,wawe,लवकर,эрт,प्रारम्भिक,په لومړيو,اوایل,wcześnie,cedo,ਦੇ ਸ਼ੁਰੂ,devreme,vave,рано,mangwanani,جي شروعات,මුල්,čoskoro,hore,temprana,awal,mapema,tidig,барвақт,ஆரம்ப,ప్రారంభ,ตอนต้น,ابتدائی,barvaqt,đầu,kusasa,פרי,tete,zakuqala
عقد,պահել,saxlamaq,eutsi,রাখা,držite,държа,mantenir,държа,chjappà,držati,holde,teni,hoidke,matagalan,pidä,soster,გამართავს,halten,κρατήστε,પકડી,kenbe,paa,להחזיק,tuav,tartsa,halda,jide,terus,shealbhú,tenere,ホールド,terus,ಹಿಡಿದುಕೊಳ್ಳಿ,ұстау,កាន់,rawestan,кармоо,ຖື,tenent,turēt,engëm,се одржи,mihazona,memegang,പിടിക്കുക,istiva,mau,धारण,барих,पकड,جوړې,نگه داشتن,przytrzymaj,segurar,ਕੇ ਰੱਖੋ,țineți,umia,држите,bata,ڏسجي,පැවැත්වීමට,držať,qaban,mantenga,nyekel,kushikilia,håll,доред,நடத்த,పట్టి,ถือ,پکڑ,ushlab turing,giư,bamba,האַלטן,mu,ubambe
غرب,արեւմուտք,qərb,west,পশ্চিম,West,west,oest,west,oeste,zapadno,vest,okcidenta,lääne,kanluran,länsi,oeste,დასავლეთ,Westen,δυτικά,પશ્ચિમ,lwès,komohana,מערב,sab hnub poob,west,vestur,n’ebe ọdịda anyanwụ,barat,siar,ovest,西,kulon,ಪಶ್ಚಿಮ,батыс,ភាគខាងលិច,rojava,батыш,ພາກຕາເວັນຕົກ,occasu,rietumu,westen,запад,andrefana,barat,പടിഞ്ഞാറ്,punent,hauauru,पश्चिमेकडे,баруун тийш,पश्चिम,لويديځ,غرب,zachód,oeste,ਪੱਛਮ,vest,sisifo,запад,madokero,اولهه,බටහිර,západ,galbeed,oeste,kulon,magharibi,väster,ғарб,மேற்கே,పశ్చిమ,ทางทิศตะวันตก,مغرب,g’arb,tây,bucala ngasekunene,מייַרעוו,ìwọ,ngasentshonalanga
أرض,հիմք,torpaq,lurrean,স্থল,terenu,земята,sòl,земята,nterra,tlo,jorden,tero,maa,lupa,maa,solo,ადგილზე,Boden,έδαφος,જમીન,tè,honua,קרקע,hauv av,föld,jörð,n’ala,tanah,talamh,terra,地面,lemah,ನೆಲದ,жер,ដី,erd,жер,ດິນ,"terra,",zemes,buedem,земјата,tany,tanah,നിലത്തു,art,whenua,ग्राउंड,газрын,जमीन,د ځمکنیو,زمین,ziemia,solo,ਜ਼ਮੀਨ,teren,eleʻele,тло,ivhu,زمين,බිම,krajiny,dhulka,suelo,tanah,ardhi,jord,замин,தரையில்,భూమి,พื้นดิน,زمین,yer,mặt đất,umhlaba,ערד,ilẹ,emhlabathini
مصلحة,հետաքրքրություն,faiz,interes,সুদ,interesa,интерес,interès,интерес,intaressu,interes,interesse,intereson,huvi,interes,etua,interese,ინტერესი,Interesse,ενδιαφέρον,રસ,enterè,panee,עניין,paj,kamat,vextir,mmasị,bunga,ús,interesse,関心,kapentingan,ಆಸಕ್ತಿ,қызығушылық,ការប្រាក់,zem,пайыздык,ມີຄວາມສົນໃຈ,interest,procenti,interesséieren,интерес,mahaliana,kepentingan,പലിശ,interess,pānga,व्याज,хүү,चासो,ګټه,علاقه,odsetki,juros,ਵਿਆਜ,interes,tului,Интерест,mubereko,فائدي,පොලී,záujem,danta,interés,bunga,maslahi,intresse,манфиат,வட்டி,వడ్డీ,ที่น่าสนใจ,دلچسپی,qiziqish,quan tâm,umdla,אינטערעס,anfani,Isithakazelo
الوصول,հասնել,olmaq,iristeko,নাগাল,dostići,достигне,arribar,достигне,ghjugna,dostići,nå,alveni,jõuda,maabot,tavoittaa,alcanzar,მიღწევა,erreichen,φτάσουν,સુધી પહોંચવા,rive jwenn,hiki,להגיע,cuag,elérni,ná,iru,mencapai,a bhaint amach,raggiungere,リーチ,tekan,ತಲುಪಲು,жету,ឈានដល់,gîhaştin,жетүү,ສາມາດບັນລຸ,attingere,sasniegt,erreeche,достигне,hahatratra,mencapai,എത്താൻ,jilħqu,tae,पोहोचण्याचा,хүрэх,पुग्न,ته ورسیږي,رسیدن به,dotrzeć,alcançar,ਤੱਕ ਪਹੁੰਚਣ,ajunge,oʻo,достићи,kusvika,پهچي,ළඟා,dosah,gaaraan,llegar,ngahontal,kufikia,nå,расидан ба,அடைய,చేరుకోవడానికి,เข้าถึง,تک پہنچنے,erishish,đạt,ukufikelela,דערגרייכן,de ọdọ,afinyelele
بسرعة,արագ,fast,azkarra,দ্রুত,brzo,бързо,ràpid,бързо,viloci,brzo,hurtigt,rapida,kiire,mabilis,nopeasti,rápido,სწრაფი,schnell,γρήγορα,ઝડપી,vit,hookeai,מהר,ceev ceev,gyors,hratt,ngwa-ngwa,cepat,tapa,veloce,速い,cepet,ವೇಗವಾಗಿ,жылдам,មានល្បឿនលឿន,zû,орозо,ໄວ,"ieiunium,",ātrs,séier,брзо,fifadian-kanina,cepat,ഉപവാസം,fast,nohopuku,जलद,хурдан,छिटो,روژه,سریع,szybko,rápido,ਫਾਸਟ,rapid,anapogi,Фаст,kutsanya,روزو,වේගයෙන්,rýchlo,dhakhso u,rápido,gancang,haraka,snabb,зуд,வேகமாக,ఫాస్ట్,อย่างรวดเร็ว,تیزی سے,tez,nhanh chóng,ngokukhawuleza,פעסט,sare,bambelela
الفعل,բայ,verb,aditza,ক্রিয়া,glagol,глагол,verb,глагол,verbo,glagol,verbum,verbo,verb,pandiwa,verbi,verbo,ზმნის,Verbum,ρήμα,ક્રિયાપદ,vèb,verb,פועל,Nqe lus,ige,sögn,ngwaa,kata kerja,briathar,verbo,動詞,kriyo,ಕ್ರಿಯಾಪದ,етістік,កិរិយាសព្ទ,lêker,этиш,ພາ,"verbo,",darbības vārds,verb,глагол,ny matoanteny amin’ny,kata kerja,ക്രിയ,li,verb,क्रियापद,үйл үг,क्रिया,فعل,فعل,czasownik,verbo,ਕ੍ਰਿਆ,verbul,veape,глагол,chiito,فعل,ක්රියා පදයෙන්,sloveso,falka,verbo,kecap pagawean,kitenzi,verb,феъл,வினை,క్రియ,คำกริยา,فعل,fe’l,động từ,isenzi,ווערב,ọrọìse,sento
الغناء,երգեցողություն,oxumaq,abestu,গাত্তয়া,pjevati,пея,cantar,пея,canta u populu,pjevati,synge,kanti,laulda,kantahin,laulaa,cantar,მღერიან,singen,τραγουδώ,ગાય,chante,mele,לשיר,hu nkauj,énekel,syngja,na-abụ abụ,bernyanyi,chanadh,cantare,歌う,sing,ಹಾಡಲು,ән салу,ច្រៀង,stran,ырдоо,ຮ້ອງ,cantabo,dziedāt,sangen,пее,mihira,menyanyi,പാടുക,nijet,waiata,गाणे,дуулах,गाउँछन्,سندري,آواز خواندن,śpiewać,cantar,ਦਾ ਗਾਇਨ,cânta,pese,певати,imba,روهتاس,ගී ගයන්න,spievať,gabyi,cantar,nembang,kuimba,sjunger,сароидан,பாட,పాడే,ร้องเพลง,گانا,kuylashadi,hát,cula,זינגען,kọrin,sihlabelele
استمع,լսել,qulaq asmaq,entzuteko,শুনতে,slušati,слушате,escoltar,слушате,canta,slušaj,lytte,aŭskulti,kuula,makinig,kuunnella,escoite,მოუსმინოს,hören,ακούστε,સાંભળવા,koute,hoolohe,להקשיב,mloog,hallgat,hlusta,ntị,mendengarkan,éisteacht,ascoltare,聞く,ngrungokake,ಕೇಳಲು,тыңдау,ស្តាប់,gûhdarkirin,угуу,ຮັບຟັງ,audite,klausīties,haaptmenu,слушате,mihaino,mendengar,കേൾക്കാൻ,jisimgħu,whakarongo,ऐका,сонсох,सुन्न,غوږ,گوش دادن,słuchać,ouça,ਗੱਲ ਸੁਣੋ,asculta,faalogo,листен,teerera,سن,සවන්,počúvať,dhegayso,escuchar,ngadenge,kusikiliza,lyssna,гӯш кардан,கேட்க,వినండి,ฟัง,سننا,tinglash,lắng nghe,ukuphulaphula,הערן,gbọ,ulalele
ستة,վեց,altı,sei,ছয়,šest,шест,passeig,шест,sei,šest,seks,ses,kuus,anim,kuusi,seis,ექვს,sechs,έξι,છ,sis,ʻeono,שש,rau,hat,sex,isii,enam,sé,sei,六,enem,ಆರು,алты,ប្រាំមួយ,şeş,алты,ຫົກ,"sex,",seši,sechs,шест,enina,enam,ആറ്,sitta,e ono,सहा,зургаан,छ,شپږ,شش,sześć,seis,ਛੇ,șase,ono,шест,nhanhatu,ڇهه,හය,šesť,lix,seis,genep,sita,sex,шаш,ஆறு,ఆరు,หก,چھ,olti,sáu,Ntandathu,זעקס,mefa,eziyisithupha
الجدول,սեղան,masa,taula,টেবিল,stol,маса,taula,маса,tàvula,stol,tabel,tablo,tabelis,talahanayan,taulukko,mesa,მაგიდა,Tabelle,τραπέζι,ટેબલ,tab,papaʻaina,שולחן,rooj,táblázat,borð,okpokoro,tabel,tábla,tavolo,テーブル,Tabel,ಟೇಬಲ್,үстел,តារាង,mêz,стол,ຕາຕະລາງ,mensamque,tabula,dësch,маса,latabatra,jadual,പട്ടിക,tabella,tepu,टेबल,хүснэгт,तालिका,جدول,جدول,stół,mesa,ਸਾਰਣੀ ਵਿੱਚ,masă,laulau,Табле,tafura,ميز,වගුව,tabuľka,miiska,mesa,meja,meza,tabell,мизи,அட்டவணை,పట్టిక,ตาราง,ٹیبل,stol,bảng,itafile,טיש,tabili,ithebula
السفر,ճանապարհորդություն,səyahət,bidaia,ভ্রমণ,putovanja,пътуване,viatges,пътуване,In viaghju,putovanje,rejser,vojaĝado,reisimine,paglalakbay,matkailu,viaxes,მოგზაურობა,Reise,ταξίδι,પ્રવાસ,vwayaj,hele,נסיעה,mus ncig teb chaws,utazás,ferðalög,njem,wisata,taisteal,viaggi,旅行,travel,ಪ್ರವಾಸ,саяхат,ការធ្វើដំណើរ,gerrîn,саякаттоо,ການເດີນທາງ,peregrinationes,ceļot,reesen,патување,Tsangatsangana,perjalanan,യാത്രാ,ivvjaġġar,haere,प्रवास,аялал жуулчлалын,यात्रा,د سفر,سفر,podróży,viagens,ਯਾਤਰਾ,călătorie,malaga,травел,famba,سفر,සංචාරක,cestovanie,safarka,viajes,perjalanan,usafiri,resor,сафари,பயண,ప్రయాణ,การเดินทาง,سفر,sayohat,du lịch,hamba,אַרומפאָרן,ajo,hamba amazwe
أقل,ավելի քիչ,az,gutxiago,কম,manje,по-малко,menys,по-малко,menu,manje,mindre,malpli,vähem,mas,vähemmän,menos,"ნაკლებია,",weniger,λιγότερο,ઓછી,mwens,emi,פחות,tsawg,kevesebb,minna,Mpekarị,kurang,níos lú,meno,レス,kurang,ಕಡಿಮೆ,аздау,តិច,kêmtir,азыраак,ຫນ້ອຍ,minor,mazāk,manner,помалку,kely kokoa,kurang,കുറവ്,inqas,iti iho,कमी,бага,कम,لږ,کمتر,mniej,menos,ਘੱਟ,mai puțin,itiiti,мање,zvishoma,گهٽ,අඩු,menej,yar,menos,langkung sakedik,chini ya,mindre,камтар,குறைவான,తక్కువ,น้อย,کم,ozroq,ít,Ngaphantsi,ווייניקער,Ti o kere,esingaphansi
الصباح,առավոտ,səhər,goizean,সকাল,jutro,сутрин,demà,сутрин,mane,jutro,formiddag,mateno,hommikul,umaga,aamu,mañá,დილით,Morgen,πρωί,સવારે,maten,kakahiaka,בוקר,thaum sawv ntxov,reggel,morgun,ụtụtụ,pagi,maidin,mattina,朝,esuk,ಬೆಳಿಗ್ಗೆ,таң,ព្រឹក,sib,эртең менен,ໃນຕອນເຊົ້າ,"mane,",rīts,moien,наутро,maraina,pagi,രാവിലെ,filgħodu,ata,सकाळी,өглөө,बिहान,سهار,صبح,rano,manhã,ਸਵੇਰ ਦੇ,dimineață,taeao,морнинг,mangwanani,صبح,අද උදෑසන,ráno,subax,mañana,isuk,asubuhi,morgon,пагоҳирӯзӣ,காலையில்,ఉదయం,ตอนเช้า,صبح,ertalab,buổi sáng,ntseni,מאָרגן,owurọ,Ekuseni
عشرة,տասը,on,hamar,দশ,deset,десет,estrany,десет,deci,deset,ti,dek,Kümne,sampu,kymmenen,dez,ათი,zehn,δέκα,દસ,dis,ʻumi,עשר,kaum,tíz,tíu,iri,sepuluh,deich,dieci,十,sepuluh,ಹತ್ತು,он,ដប់,deh,он,ສິບ,decem,desmit,zéng,десет,folo,sepuluh,പത്ത്,għaxar,tekau,दहा,арван,दस,لس,ده,dziesięć,dez,ਦਸ,zece,sefulu,десет,gumi,ڏهه,දස,desať,toban,diez,sapuluh,kumi,tio,даҳ,பத்து,పది,สิบ,دس,o’n,mười,Shumi,צען,mẹwa,eziyishumi
بسيطة,պարզ,sadə,sinple,সহজ,jednostavna,прост,simple,прост,sèmplice,jednostavan,simpelt,simpla,lihtne,simple,yksinkertainen,simple,მარტივი,einfach,απλό,સરળ,senp,mea,פשוט,yooj yim,egyszerű,einfalt,mfe,sederhana,simplí,semplice,シンプル,prasaja,ಸರಳ,қарапайым,សាមញ្ញ,asan,жөнөкөй,ງ່າຍດາຍ,"simplex,",vienkāršs,einfach,едноставен,tsotra,mudah,ലഘുവായ,sempliċi,simple,साधी,энгийн,सरल,ساده,ساده,proste,simples,ਸਧਾਰਨ,simplu,faigofie,Симпле,nyore,سادي,සරල,jednoduché,fudud,sencilla,sederhana,rahisi,enkel,содда,எளிமையான,సాధారణ,ง่าย,سادہ,oddiy,đơn giản,elula,פּשוט,o rọrun,elula
عدة,մի քանի,bir neçə,hainbat,বিভিন্ন,nekoliko,няколко,diversos,няколко,parechji,nekoliko,flere,pluraj,mitu,ilang,useat,varios,რამდენიმე,mehrere,αρκετές,અનેક,plizyè,mau,כמה,ob peb,több,nokkrir,ọtụtụ,beberapa,roinnt,alcuni,いくつかの,sawetara,ಹಲವಾರು,бірнеше,ជាច្រើន,piran,бир топ,ຫຼາຍ,plures,vairāki,puer,повеќе,maro,beberapa,നിരവധി,diversi,e rave rahi,अनेक,хэд хэдэн,धेरै,څو,چند,kilka,vários,ਕਈ ਕਈ,mai mulți,nai,неколико,akawanda,ڪيترن ئي,කිහිපයක්,viac,dhowr,varios,sababaraha,kadhaa,flera,якчанд,பல,అనేక,หลาย,کئی,bir necha,nhiều,eziliqela,עטלעכע,orisirisi awọn,eziningana
حرف لين,ձայնավոր,sait,bokal,স্বরবর্ণ,samoglasnik,гласна,vocal,гласна,vucali,samoglasnik,vokal,vokalo,vokaali,patinig,vokaali,vocal,ხმოვანთა,Vokal,φωνήεν,સ્વર,vwayèl,vowel,תנועה,vowel,magánhangzó,vowel,ụdaume,vokal,guta,vocale,母音,aksara,ಸ್ವರ,дауысты,ស្រៈ,dengdar,үндүү,ສະຫລະສຽງ,"vocali,",patskaņu,vokal,самогласка,zanatsoratra,vokal,സരം,vokali,oropuare,चालणार,эгшиг,स्वर,د کرسۍ,واکه,samogłoska,vogal,ਸ੍ਵਰ,vocală,vaueli,самогласник,nzvanyira,اسمن,ස්වර,samohláska,shaqal,vocal,pokal,vowel,vokal,vowel,உயிர்,అచ్చు,สระ,سر,unli tovush,nguyên âm,isikhamiso,וואַואַל,vowel,unkamisa
نحو,դեպի,doğru,aldera,দিকে,ka,към,cap,към,versu,prema,mod,rilate,poole,patungo,kohti,dirección,მიმართ,auf,προς,તરફ,nan direksyon,ma,לקראת,mus rau,felé,átt,n’ebe,menuju,i dtreo,verso,の方へ,menyang,ಕಡೆಗೆ,қарай,ឆ្ពោះទៅកាន់,dijî,болгон,ໄປສູ່ການຕອບ,in,virzienā,richtung,кон,amin’ny,ke arah,നേരെ,lejn,ki,दिशेने,рүү,तिर,په لور,به سمت,kierunku,direção,ਵੱਲ,spre,i,ка,akananga,رخ,දෙසට,k,xagga,hacia,ka arah,kuelekea,mot,ба,நோக்கி,వైపు,ต่อ,کی طرف,tomonga,hướng,ndibhekise,צו,si,bubheke
